"Ref","OrigFeatureName","Used","CleanFeatureName","Operation","FinalFeatureName"
"V1","tBodyAcc-mean()-X",TRUE,"TimeBodyAccMeanX","Mean by Subject, Activity","MeanTimeBodyAccMeanX"
"V2","tBodyAcc-mean()-Y",TRUE,"TimeBodyAccMeanY","Mean by Subject, Activity","MeanTimeBodyAccMeanY"
"V3","tBodyAcc-mean()-Z",TRUE,"TimeBodyAccMeanZ","Mean by Subject, Activity","MeanTimeBodyAccMeanZ"
"V4","tBodyAcc-std()-X",TRUE,"TimeBodyAccStdX","Mean by Subject, Activity","MeanTimeBodyAccStdX"
"V5","tBodyAcc-std()-Y",TRUE,"TimeBodyAccStdY","Mean by Subject, Activity","MeanTimeBodyAccStdY"
"V6","tBodyAcc-std()-Z",TRUE,"TimeBodyAccStdZ","Mean by Subject, Activity","MeanTimeBodyAccStdZ"
"V7","tBodyAcc-mad()-X",FALSE,NA,NA,NA
"V8","tBodyAcc-mad()-Y",FALSE,NA,NA,NA
"V9","tBodyAcc-mad()-Z",FALSE,NA,NA,NA
"V10","tBodyAcc-max()-X",FALSE,NA,NA,NA
"V11","tBodyAcc-max()-Y",FALSE,NA,NA,NA
"V12","tBodyAcc-max()-Z",FALSE,NA,NA,NA
"V13","tBodyAcc-min()-X",FALSE,NA,NA,NA
"V14","tBodyAcc-min()-Y",FALSE,NA,NA,NA
"V15","tBodyAcc-min()-Z",FALSE,NA,NA,NA
"V16","tBodyAcc-sma()",FALSE,NA,NA,NA
"V17","tBodyAcc-energy()-X",FALSE,NA,NA,NA
"V18","tBodyAcc-energy()-Y",FALSE,NA,NA,NA
"V19","tBodyAcc-energy()-Z",FALSE,NA,NA,NA
"V20","tBodyAcc-iqr()-X",FALSE,NA,NA,NA
"V21","tBodyAcc-iqr()-Y",FALSE,NA,NA,NA
"V22","tBodyAcc-iqr()-Z",FALSE,NA,NA,NA
"V23","tBodyAcc-entropy()-X",FALSE,NA,NA,NA
"V24","tBodyAcc-entropy()-Y",FALSE,NA,NA,NA
"V25","tBodyAcc-entropy()-Z",FALSE,NA,NA,NA
"V26","tBodyAcc-arCoeff()-X,1",FALSE,NA,NA,NA
"V27","tBodyAcc-arCoeff()-X,2",FALSE,NA,NA,NA
"V28","tBodyAcc-arCoeff()-X,3",FALSE,NA,NA,NA
"V29","tBodyAcc-arCoeff()-X,4",FALSE,NA,NA,NA
"V30","tBodyAcc-arCoeff()-Y,1",FALSE,NA,NA,NA
"V31","tBodyAcc-arCoeff()-Y,2",FALSE,NA,NA,NA
"V32","tBodyAcc-arCoeff()-Y,3",FALSE,NA,NA,NA
"V33","tBodyAcc-arCoeff()-Y,4",FALSE,NA,NA,NA
"V34","tBodyAcc-arCoeff()-Z,1",FALSE,NA,NA,NA
"V35","tBodyAcc-arCoeff()-Z,2",FALSE,NA,NA,NA
"V36","tBodyAcc-arCoeff()-Z,3",FALSE,NA,NA,NA
"V37","tBodyAcc-arCoeff()-Z,4",FALSE,NA,NA,NA
"V38","tBodyAcc-correlation()-X,Y",FALSE,NA,NA,NA
"V39","tBodyAcc-correlation()-X,Z",FALSE,NA,NA,NA
"V40","tBodyAcc-correlation()-Y,Z",FALSE,NA,NA,NA
"V41","tGravityAcc-mean()-X",TRUE,"TimeGravityAccMeanX","Mean by Subject, Activity","MeanTimeGravityAccMeanX"
"V42","tGravityAcc-mean()-Y",TRUE,"TimeGravityAccMeanY","Mean by Subject, Activity","MeanTimeGravityAccMeanY"
"V43","tGravityAcc-mean()-Z",TRUE,"TimeGravityAccMeanZ","Mean by Subject, Activity","MeanTimeGravityAccMeanZ"
"V44","tGravityAcc-std()-X",TRUE,"TimeGravityAccStdX","Mean by Subject, Activity","MeanTimeGravityAccStdX"
"V45","tGravityAcc-std()-Y",TRUE,"TimeGravityAccStdY","Mean by Subject, Activity","MeanTimeGravityAccStdY"
"V46","tGravityAcc-std()-Z",TRUE,"TimeGravityAccStdZ","Mean by Subject, Activity","MeanTimeGravityAccStdZ"
"V47","tGravityAcc-mad()-X",FALSE,NA,NA,NA
"V48","tGravityAcc-mad()-Y",FALSE,NA,NA,NA
"V49","tGravityAcc-mad()-Z",FALSE,NA,NA,NA
"V50","tGravityAcc-max()-X",FALSE,NA,NA,NA
"V51","tGravityAcc-max()-Y",FALSE,NA,NA,NA
"V52","tGravityAcc-max()-Z",FALSE,NA,NA,NA
"V53","tGravityAcc-min()-X",FALSE,NA,NA,NA
"V54","tGravityAcc-min()-Y",FALSE,NA,NA,NA
"V55","tGravityAcc-min()-Z",FALSE,NA,NA,NA
"V56","tGravityAcc-sma()",FALSE,NA,NA,NA
"V57","tGravityAcc-energy()-X",FALSE,NA,NA,NA
"V58","tGravityAcc-energy()-Y",FALSE,NA,NA,NA
"V59","tGravityAcc-energy()-Z",FALSE,NA,NA,NA
"V60","tGravityAcc-iqr()-X",FALSE,NA,NA,NA
"V61","tGravityAcc-iqr()-Y",FALSE,NA,NA,NA
"V62","tGravityAcc-iqr()-Z",FALSE,NA,NA,NA
"V63","tGravityAcc-entropy()-X",FALSE,NA,NA,NA
"V64","tGravityAcc-entropy()-Y",FALSE,NA,NA,NA
"V65","tGravityAcc-entropy()-Z",FALSE,NA,NA,NA
"V66","tGravityAcc-arCoeff()-X,1",FALSE,NA,NA,NA
"V67","tGravityAcc-arCoeff()-X,2",FALSE,NA,NA,NA
"V68","tGravityAcc-arCoeff()-X,3",FALSE,NA,NA,NA
"V69","tGravityAcc-arCoeff()-X,4",FALSE,NA,NA,NA
"V70","tGravityAcc-arCoeff()-Y,1",FALSE,NA,NA,NA
"V71","tGravityAcc-arCoeff()-Y,2",FALSE,NA,NA,NA
"V72","tGravityAcc-arCoeff()-Y,3",FALSE,NA,NA,NA
"V73","tGravityAcc-arCoeff()-Y,4",FALSE,NA,NA,NA
"V74","tGravityAcc-arCoeff()-Z,1",FALSE,NA,NA,NA
"V75","tGravityAcc-arCoeff()-Z,2",FALSE,NA,NA,NA
"V76","tGravityAcc-arCoeff()-Z,3",FALSE,NA,NA,NA
"V77","tGravityAcc-arCoeff()-Z,4",FALSE,NA,NA,NA
"V78","tGravityAcc-correlation()-X,Y",FALSE,NA,NA,NA
"V79","tGravityAcc-correlation()-X,Z",FALSE,NA,NA,NA
"V80","tGravityAcc-correlation()-Y,Z",FALSE,NA,NA,NA
"V81","tBodyAccJerk-mean()-X",TRUE,"TimeBodyAccJerkMeanX","Mean by Subject, Activity","MeanTimeBodyAccJerkMeanX"
"V82","tBodyAccJerk-mean()-Y",TRUE,"TimeBodyAccJerkMeanY","Mean by Subject, Activity","MeanTimeBodyAccJerkMeanY"
"V83","tBodyAccJerk-mean()-Z",TRUE,"TimeBodyAccJerkMeanZ","Mean by Subject, Activity","MeanTimeBodyAccJerkMeanZ"
"V84","tBodyAccJerk-std()-X",TRUE,"TimeBodyAccJerkStdX","Mean by Subject, Activity","MeanTimeBodyAccJerkStdX"
"V85","tBodyAccJerk-std()-Y",TRUE,"TimeBodyAccJerkStdY","Mean by Subject, Activity","MeanTimeBodyAccJerkStdY"
"V86","tBodyAccJerk-std()-Z",TRUE,"TimeBodyAccJerkStdZ","Mean by Subject, Activity","MeanTimeBodyAccJerkStdZ"
"V87","tBodyAccJerk-mad()-X",FALSE,NA,NA,NA
"V88","tBodyAccJerk-mad()-Y",FALSE,NA,NA,NA
"V89","tBodyAccJerk-mad()-Z",FALSE,NA,NA,NA
"V90","tBodyAccJerk-max()-X",FALSE,NA,NA,NA
"V91","tBodyAccJerk-max()-Y",FALSE,NA,NA,NA
"V92","tBodyAccJerk-max()-Z",FALSE,NA,NA,NA
"V93","tBodyAccJerk-min()-X",FALSE,NA,NA,NA
"V94","tBodyAccJerk-min()-Y",FALSE,NA,NA,NA
